DEPENDENCIA / ENTIDAD,NOMBRE UC,CLAVE UC,N?MERO DE PROCEDIMIENTO,TIPO DE PROCEDIMIENTO,TIPO CONTRATACI?N,CARACTER,N?MERO DE CONTRATO,REFERENCIA DE LA CONTRATACI?N,FECHA DE SUSCRIPCI?N DE CONTRATO,IMPORTE MN SIN IVA,RAZ?N SOCIAL,URL DEL CONTRATO
"ADMINISTRACI?N PORTUARIA INTEGRAL DE PROGRESO, S.A. DE C.V.",Gerencia de Administraci¢n y Finanzas,09172001,09172001-002-11,Licitaci¢n P£blica,Adquisiciones,Nacional,GAF-GAF-03-11,Servicio de Fumigaci¢n y desratizaci¢n,31/01/2011,"$350,929.32",SERAFIN CHAVEZ FLORES,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=GAF-GAF-03-11&p_CveDep=09172&p_CveUni=001&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE PROGRESO, S.A. DE C.V.",Gerencia de Administraci¢n y Finanzas,09172001,09172001-003-11,Licitaci¢n P£blica,Adquisiciones,Nacional,GAF-GAF-04-11,"Servicio de limpieza, desyerbe y recolecci¢n de basura",31/01/2011,"$1,997,461.95",TRATAMIENTO ECOLOGICO DE RESIDUOS PENINSULAR S.A DE C.V,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=GAF-GAF-04-11&p_CveDep=09172&p_CveUni=001&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
"ADMINISTRACI?N PORTUARIA INTEGRAL DE PROGRESO, S.A. DE C.V.",Gerencia de Administraci¢n y Finanzas,09172001,09172001-004-11,Licitaci¢n P£blica,Adquisiciones,Nacional,GAF-GAF-05-11,Servicio de mantenimiento preventivo y correctivo a equipos de aire acondicionado,31/01/2011,"$165,726.00","THERMOKOLD DE MEXICO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=GAF-GAF-05-11&p_CveDep=09172&p_CveUni=001&p_NumeroLc=004&p_AnioLc=2011&ConSin=1
ADMINISTRACI?N PORTUARIA INTEGRAL DE QUINTANA ROO S.A. DE C.V.,Gerencia de Administraci¢n y Finanzas,52905001,52905001-001-11,Licitaci¢n P£blica,Adquisiciones,Nacional,APIGAFCPS-140211-020,"CONTRATACI?N DE SERVICIO DE SEGURIDAD Y VIGILANCIA  PARA PUERTO MORELOS Y PUERTO JU?REZ, Q. ROO",12/02/2011,"$5,729.85",SEGURIDAD PRIVADA EMPRESARIAL DEL SURESTE S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=APIGAFCPS-140211-020&p_CveDep=52905&p_CveUni=001&p_NumeroLc=001&p_AnioLc=2011&ConSin=1
ADMINISTRACI?N PORTUARIA INTEGRAL DE QUINTANA ROO S.A. DE C.V.,Gerencia de Administraci¢n y Finanzas,52905001,52905001-002-11,Licitaci¢n P£blica,Adquisiciones,Nacional,API-GAFOCA280211-029,"Adquisici¢n de mobiliario y equipo de oficina para la Terminal de Transbordadores en Cozumel, Q. Roo.",28/02/2011,"$1,685,011.95","DELGADO Y COMPA•IA, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=API-GAFOCA280211-029&p_CveDep=52905&p_CveUni=001&p_NumeroLc=002&p_AnioLc=2011&ConSin=1
ADMINISTRACI?N PORTUARIA INTEGRAL DE QUINTANA ROO S.A. DE C.V.,Gerencia de Administraci¢n y Finanzas,52905001,52905001-003-11,Licitaci¢n P£blica,Adquisiciones,Nacional,APIGAFOCA210611-075,Adquisici¢n e implementaci¢n de sistema de monitoreo y seguridad para Cozumel y Puerto Morelos Q. Roo,20/06/2011,"$1,413,390.62",GOMEZ CARDENAS SALVADOR,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=APIGAFOCA210611-075&p_CveDep=52905&p_CveUni=001&p_NumeroLc=003&p_AnioLc=2011&ConSin=1
AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MêXICO S.A. DE C.V.,Subdirecci¢n de Recursos Materiales,09451003,09451003-024-10,Licitaci¢n P£blica,Servicios,Nacional,003-O11-AICM-E43-1M,"servicio de mantenimiento preventivo, preventivo mayor  y correctivo  para los sistemas  de circuito cerrado de television y control de accesos  para la T1 y T2",26/01/2011,"$2,993,560.00",ROA ESCOBAR EVA CECILIA,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=003-O11-AICM-E43-1M&p_CveDep=09451&p_CveUni=003&p_NumeroLc=024&p_AnioLc=2010&ConSin=1
AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MêXICO S.A. DE C.V.,Subdirecci¢n de Recursos Materiales,09451003,09451003-024-10,Licitaci¢n P£blica,Servicios,Nacional,004-O11-AICM-E43-1M,"servicio de mantenimiento preventivo, preventivo mayor  y correctivo  para los sistemas  de circuito cerrado de television y control de accesos  para la T1 y T2",26/01/2011,"$6,744,853.52",ROA ESCOBAR EVA CECILIA,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=004-O11-AICM-E43-1M&p_CveDep=09451&p_CveUni=003&p_NumeroLc=024&p_AnioLc=2010&ConSin=1
AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MêXICO S.A. DE C.V.,Subdirecci¢n de Recursos Materiales,09451003,09451003-023-10,Licitaci¢n P£blica,Servicios,Nacional,002-O11-AICM-E43-1M,servicio de mantenimiento preventivo y correctivo a los sistemas centrales de aire acondicionado de terminal 1 y terminal 2,28/01/2011,"$6,454,221.35","CORPORACION TECNICA AMBIENTAL, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=002-O11-AICM-E43-1M&p_CveDep=09451&p_CveUni=003&p_NumeroLc=023&p_AnioLc=2010&ConSin=1
AEROPUERTOS Y SERVICIOS AUXILIARES,Administraci¢n del Aeropuerto Ciudad del Carmen Campeche,09085009,09085009-001-11,Licitaci¢n P£blica,Servicios,Nacional,34-CME-11-C-LP,"Servicio de alimentaci¢n a empleados del aeropuerto internacional de cd del carmen, campeche",14/02/2011,"$592,649.75",SISTINDACEMA TMX S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=34-CME-11-C-LP&p_CveDep=09085&p_CveUni=009&p_NumeroLc=001&p_AnioLc=2011&ConSin=1
AEROPUERTOS Y SERVICIOS AUXILIARES,Administraci¢n del Aeropuerto Ciudad Victoria General Pedro J. MÇndez,09085012,09085012-003-10,Licitaci¢n P£blica,Servicios,Nacional,33-CVM-11-C-LP,"SERVICIO DE ALIMENTACION DE EMPLEADOS DEL AEROPUERTO INTERNACIONAL DE CD. VICTORIA, TAMPS",18/01/2011,"$475,240.00",PAULINA CASTILLO DE LA ROSA,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=33-CVM-11-C-LP&p_CveDep=09085&p_CveUni=012&p_NumeroLc=003&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-023-10,Licitaci¢n P£blica,Servicios,Nacional,C 051/2011,"CONTRATACION DE LOS SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPOS MOTOGENERADORES, SUBESTACION Y AIRE ACONDICIONADO",05/01/2011,"$324,000.00",SISTEMAS TERMICOS INTEGRALES S.A. DE C.V. ,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 051/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=023&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-023-10,Licitaci¢n P£blica,Servicios,Nacional,C 057/2011,"CONTRATACION DE LOS SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPOS MOTOGENERADORES, SUBESTACION Y AIRE ACONDICIONADO",05/01/2011,"$2,053,600.00",G?PESSA INGENIERIA ESPECIALIZADA S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 057/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=023&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-024-10,Licitaci¢n P£blica,Servicios,Nacional,C 058/2011,"CONTRATACION DE LOS SERVICIOS DE TRASLADO DE VALORES, AGENCIA DE VIAJES Y SUMINISTRO DE COMBUSTIBLE",06/01/2011,"$3,600,000.00",VIAJES BEL-AIR S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 058/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=024&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-024-10,Licitaci¢n P£blica,Servicios,Nacional,C 065/2011,"CONTRATACION DE LOS SERVICIOS DE TRASLADO DE VALORES, AGENCIA DE VIAJES Y SUMINISTRO DE COMBUSTIBLE",06/01/2011,"$3,600,000.00",CONSORCIO GASOLINERO PLUS S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 065/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=024&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-026-10,Licitaci¢n P£blica,Adquisiciones,Nacional,C 067/2011,ADQUISICION DE PLASTICOS VIRGENES PARA TARJETAS DE CREDITO Y DEBITO,14/01/2011,"$935,256.00","GIESECKE & DEVRIENT DE M?XICO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 067/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=026&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-027-10,Licitaci¢n P£blica,Servicios,Internacional,C 059/2011,RENOVACION DE CONTRATOS DE MANTENIMIENTO Y SOPORTE DE LA RED DE SEGURIDAD DE INFORMACION,12/01/2011,"$1,200,000.00",TECNOLOGIA EN SISTEMAS DE APOYO SA,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 059/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=027&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-027-10,Licitaci¢n P£blica,Servicios,Internacional,C 060/2011,RENOVACION DE CONTRATOS DE MANTENIMIENTO Y SOPORTE DE LA RED DE SEGURIDAD DE INFORMACION,12/01/2011,"$236,945.97",PROTGT S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 060/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=027&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-027-10,Licitaci¢n P£blica,Servicios,Internacional,C 061/2011,RENOVACION DE CONTRATOS DE MANTENIMIENTO Y SOPORTE DE LA RED DE SEGURIDAD DE INFORMACION,12/01/2011,"$2,098,670.00",ONLINET S. A. DE C. V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 061/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=027&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-027-10,Licitaci¢n P£blica,Servicios,Internacional,C 062/2011,RENOVACION DE CONTRATOS DE MANTENIMIENTO Y SOPORTE DE LA RED DE SEGURIDAD DE INFORMACION,12/01/2011,"$1,330,560.00","ANTHASOFT, S. A DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 062/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=027&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-027-10,Licitaci¢n P£blica,Servicios,Internacional,C 063/2011,RENOVACION DE CONTRATOS DE MANTENIMIENTO Y SOPORTE DE LA RED DE SEGURIDAD DE INFORMACION,12/01/2011,"$2,630,700.00","GITRONIC, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 063/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=027&p_AnioLc=2010&ConSin=1
"BANCO NACIONAL DEL EJêRCITO, FUERZA AêREA Y ARMADA, S.N.C.",Gerencia de Adquisiciones y Control de Activo,06325001,06325001-027-10,Licitaci¢n P£blica,Servicios,Internacional,C 064/2011,RENOVACION DE CONTRATOS DE MANTENIMIENTO Y SOPORTE DE LA RED DE SEGURIDAD DE INFORMACION,12/01/2011,"$5,820,035.00","INDUSTRIAL SOLUTIONS DE M?XICO, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=C 064/2011&p_CveDep=06325&p_CveUni=001&p_NumeroLc=027&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-015-10,Licitaci¢n P£blica,Servicios,Nacional,4500015468,Servicio de limpieza,11/01/2011,"$2,111,184.48","EULEN MêXICO DE SERVICIOS, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015468&p_CveDep=09120&p_CveUni=002&p_NumeroLc=015&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-015-10,Licitaci¢n P£blica,Servicios,Nacional,4500015469,Servicio de limpieza,25/01/2011,"$1,224,600.00",LAVADORES TECNICOS S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015469&p_CveDep=09120&p_CveUni=002&p_NumeroLc=015&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-016-10,Licitaci¢n P£blica,Servicios,Nacional,4500015485,Servicio de vigilancia,12/01/2011,"$9,072,000.00",SISTEMA INTEGRAL DE PROTECCION Y DEFENSA S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015485&p_CveDep=09120&p_CveUni=002&p_NumeroLc=016&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-017-10,Licitaci¢n P£blica,Servicios,Nacional,4500015465,Servicio de recoleccion de basura,07/01/2011,"$319,085.76",RECOLECTORA DE DESECHOS Y RESIDUOS KING-KONG S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015465&p_CveDep=09120&p_CveUni=002&p_NumeroLc=017&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-018-10,Licitaci¢n P£blica,Servicios,Nacional,4500015464,Servicio de traslado de documentaci?n,06/01/2011,"$374,572.32","EULEN MêXICO DE SERVICIOS, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015464&p_CveDep=09120&p_CveUni=002&p_NumeroLc=018&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-019-10,Licitaci¢n P£blica,Servicios,Nacional,4500015460,Servicio de limpieza de fosas s?pticas,07/01/2011,"$440,000.00",TOMAS MIGUEL LOPEZ LINARES DUARTE,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015460&p_CveDep=09120&p_CveUni=002&p_NumeroLc=019&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-020-10,Licitaci¢n P£blica,Servicios,Nacional,4500015470,Servicio de limpieza,19/01/2011,"$1,092,600.00",SUPER TAZ SA DE CV,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015470&p_CveDep=09120&p_CveUni=002&p_NumeroLc=020&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-021-10,Licitaci¢n P£blica,Servicios,Nacional,4500015471,Servicio de vigilancia,12/01/2011,"$1,694,400.00","BUFETE DE ASESORIA Y SERVICIOS  ESPECIALIZADOS, S.A. DE C.V.",http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015471&p_CveDep=09120&p_CveUni=002&p_NumeroLc=021&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-022-10,Licitaci¢n P£blica,Servicios,Nacional,4500015564,SERVICIO DE RESERVACION Y EXPEDICION DE PASAJES AEREOS NACIONALES,08/02/2011,"$740,000.00",VIAJES OLAS ALTAS DE TIJUANA S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015564&p_CveDep=09120&p_CveUni=002&p_NumeroLc=022&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-022-10,Licitaci¢n P£blica,Servicios,Nacional,4500015565,SERVICIO DE RESERVACION Y EXPEDICION DE PASAJES AEREOS NACIONALES,08/02/2011,"$100,000.00",VIAJES OLAS ALTAS DE TIJUANA S.A. DE C.V.,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015565&p_CveDep=09120&p_CveUni=002&p_NumeroLc=022&p_AnioLc=2010&ConSin=1
CAMINOS Y PUENTES FEDERALES DE INGRESOS Y SERVICIOS CONEXOS,Subdelegaci¢n de Administraci¢n en Tijuana,09120002,09120002-023-10,Licitaci¢n P£blica,Servicios,Nacional,4500015650,SERVICIO DE MANTENIMIENTO PREVENTIVO/CORRECTIVO DE MECANICA AUTOMOTRIZ A VEHICULOS DE GASOLINA,04/02/2011,"$679,700.00",MARIA POMPELLA GANDARILLA TERAN,http://web.compranet.gob.mx:8000/pls/cnet2k2/C2ContratosAdU.detalleadq?p_numcon=4500015650&p_CveDep=09120&p_CveUni=002&p_NumeroLc=023&p_AnioLc=2010&ConSin=1
